%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1518220929976045223,0,1.14444366855e-19,0.908636569977,0.0594345703721,-0.0599999986589,0.052358340472,0.0396249219775,0.0,180.0,0.0,0.537874281406,-2.15345575103e-36,2.03779809129e-36
1518220929990597078,0,1.14444366855e-19,0.415692567825,0.0613518133759,-0.070000000298,0.0221068542451,0.040309432894,0.0,180.0,0.0,0.537603616714,-2.15345575103e-36,2.03779809129e-36
1518220930007747939,0,1.14444366855e-19,0.426650524139,0.0628856122494,-0.070000000298,0.0209433361888,0.0410704165697,0.0,180.0,0.0,0.53729736805,-2.15345575103e-36,2.03779809129e-36
1518220930025250206,0,1.14444366855e-19,0.364344120026,0.0648028552532,-0.070000000298,0.00698111206293,0.0427227132022,0.0,180.0,0.0,0.537158429623,-2.15345575103e-36,2.03779809129e-36
1518220930039975081,0,1.14444366855e-19,0.217626094818,0.0663366466761,-0.070000000298,-0.0104716680944,0.043558228761,0.0,180.0,0.0,0.537051200867,-2.15345575103e-36,2.03779809129e-36
1518220930057466879,0,1.14444366855e-19,0.0935311317444,0.0667200982571,-0.070000000298,-0.0302514843643,0.0447206795216,0.0,180.0,0.0,0.537097275257,-2.15345575103e-36,2.03779809129e-36
1518220930073061909,0,1.14444366855e-19,0.0535416603088,0.0678704455495,-0.070000000298,-0.0325785204768,0.0448105111718,0.0,180.0,0.0,0.537368953228,-2.15345575103e-36,2.03779809129e-36
1518220930086032985,0,1.14444366855e-19,0.065039396286,0.0682538896799,-0.070000000298,-0.0302514843643,0.0447518900037,0.0,180.0,0.0,0.538098454475,-2.15345575103e-36,2.03779809129e-36
1518220930100963953,0,1.14444366855e-19,0.0604603290558,0.0674869939685,-0.070000000298,-0.029087966308,0.0443011410534,0.0,180.0,0.0,0.538907289505,-2.15345575103e-36,2.03779809129e-36
1518220930118485491,0,1.14444366855e-19,0.248599767685,0.0671035498381,-0.070000000298,-0.0081446301192,0.0438873916864,0.0,180.0,0.0,0.539664328098,-2.15345575103e-36,2.03779809129e-36
1518220930135128853,0,1.14444366855e-19,0.320106983185,0.0648028552532,-0.070000000298,-0.0046540745534,0.0437529236078,0.0,180.0,0.0,0.540704548359,-2.15345575103e-36,2.03779809129e-36
1518220930150270759,0,1.14444366855e-19,0.491342544556,0.0605849176645,-0.0599999986589,-0.0162892602384,0.0437990501523,0.0,180.0,0.0,0.542206585407,-2.15345575103e-36,2.03779809129e-36
1518220930167765630,0,1.14444366855e-19,0.505905151367,0.0594345703721,-0.070000000298,0.0046540745534,0.0435436554253,0.0,180.0,0.0,0.542769014835,-2.15345575103e-36,2.03779809129e-36
1518220930183932743,0,1.14444366855e-19,0.17510008812,0.0594345703721,-0.070000000298,-0.0267609283328,0.0433057285845,0.0,180.0,0.0,0.543019711971,-2.15345575103e-36,2.03779809129e-36
1518220930199736054,0,1.14444366855e-19,0.0455491542816,0.0613518133759,-0.070000000298,-0.0337420403957,0.0430000834167,0.0,180.0,0.0,0.543172717094,-2.15345575103e-36,2.03779809129e-36
1518220930216953321,0,1.14444366855e-19,0.0897169113159,0.0625021606684,-0.070000000298,-0.0232703723013,0.0424637719989,0.0,180.0,0.0,0.543320596218,-2.15345575103e-36,2.03779809129e-36
1518220930233544131,0,1.14444366855e-19,0.214915513992,0.0625021606684,-0.0599999986589,-0.029087966308,0.0422262623906,0.0,180.0,0.0,0.543427884579,-2.15345575103e-36,2.03779809129e-36
1518220930246043384,0,1.14444366855e-19,0.191748142242,0.0625021606684,-0.0599999986589,-0.0267609283328,0.0415628664196,0.0,180.0,0.0,0.543520987034,-2.15345575103e-36,2.03779809129e-36
1518220930260894717,0,1.14444366855e-19,-0.220657587051,0.0613518133759,-0.070000000298,-0.0477042645216,0.0411917343736,0.0,180.0,0.0,0.54406440258,-2.15345575103e-36,2.03779809129e-36
