%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1519585790789078633,0,1.14444366855e-19,-10.0,3.46484375,0.0,0.0162892602384,-0.0087154796347,0.0,180.0,0.0,-0.470315128565,-2.08880356173e-36,3.25989838244e-35
1519585790807074910,0,1.14444366855e-19,-10.0,3.33562135696,0.0,0.0023270372767,-0.00894444342703,0.0,180.0,0.0,-0.470734238625,-2.08880356173e-36,3.25989838244e-35
1519585790825160301,0,1.14444366855e-19,-10.0,3.20831632614,0.0,0.0139622241259,-0.00806037522852,0.0,180.0,0.0,-0.470943540335,-2.08880356173e-36,3.25989838244e-35
1519585790846458709,0,1.14444366855e-19,-10.0,3.08292865753,0.0,0.00581759307534,-0.00760248908773,0.0,180.0,0.0,-0.471224427223,-2.08880356173e-36,3.25989838244e-35
1519585790864956339,0,1.14444366855e-19,-10.0,2.95945811272,0.0,-0.0023270372767,-0.00716706970707,0.0,180.0,0.0,-0.471405774355,-2.08880356173e-36,3.25989838244e-35
1519585790882393814,0,1.14444366855e-19,-10.0,2.83292007446,0.0,0.0209433361888,-0.00727945473045,0.0,180.0,0.0,-0.471632152796,-2.08880356173e-36,3.25989838244e-35
1519585790899505874,0,1.14444366855e-19,-10.0,2.70676541328,0.0,0.00581759307534,-0.00719688134268,0.0,180.0,0.0,-0.471787363291,-2.08880356173e-36,3.25989838244e-35
1519585790919374127,0,1.14444366855e-19,-10.0,2.58176112175,0.0,0.0127987051383,-0.0065710968338,0.0,180.0,0.0,-0.471820414066,-2.08880356173e-36,3.25989838244e-35
1519585790940987794,0,1.14444366855e-19,-10.0,2.45637321472,0.0,-0.00349055603147,-0.00658095581457,0.0,180.0,0.0,-0.471894711256,-2.08880356173e-36,3.25989838244e-35
1519585790957663917,0,1.14444366855e-19,-10.0,2.33098554611,0.0,0.0267609283328,-0.00644429493695,0.0,180.0,0.0,-0.472031325102,-2.08880356173e-36,3.25989838244e-35
1519585790977236753,0,1.14444366855e-19,-10.0,2.20674800873,0.0,0.0093081491068,-0.00640315702185,0.0,180.0,0.0,-0.472169905901,-2.08880356173e-36,3.25989838244e-35
1519585790998032141,0,1.14444366855e-19,-10.0,2.08519482613,0.00999999977648,0.0,-0.00586128886789,0.0,180.0,0.0,-0.472265183926,-2.08880356173e-36,3.25989838244e-35
1519585791015231856,0,1.14444366855e-19,-10.0,1.96440839767,0.00999999977648,0.0139622241259,-0.00664095347747,0.0,180.0,0.0,-0.472553670406,-2.08880356173e-36,3.25989838244e-35
1519585791035065682,0,1.14444366855e-19,-10.0,1.84438896179,0.0,0.00698111206293,-0.00570732681081,0.0,180.0,0.0,-0.472766190767,-2.08880356173e-36,3.25989838244e-35
1519585791055886434,0,1.14444366855e-19,-10.0,1.72283565998,0.0,0.0,-0.00553421443328,0.0,180.0,0.0,-0.473037600517,-2.08880356173e-36,3.25989838244e-35
