%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1519585790897416085,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,57.0,12.0,0.0,0.0308666657656,87.0,19.0,0.0
1519585790916009965,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,0.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585790931908797,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,0.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585790953754860,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,19.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585790973141707,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,38.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585790989144810,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,57.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585791010408269,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,0.0,12.0,0.0,0.0205777771771,87.0,19.0,0.0
1519585791031380167,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,0.0,12.0,0.0,0.0205777771771,87.0,19.0,0.0
1519585791047418998,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,19.0,12.0,0.0,0.0205777771771,87.0,19.0,0.0
1519585791067594126,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,38.0,12.0,0.0,0.0205777771771,87.0,19.0,0.0
1519585791086958838,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,57.0,12.0,0.0,0.0205777771771,87.0,19.0,0.0
1519585791105944593,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,76.0,12.0,0.0,0.0205777771771,87.0,19.0,0.0
1519585791126806490,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,0.0,12.0,0.0,0.0102888885885,87.0,19.0,0.0
1519585791140899127,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,0.0,12.0,0.0,0.0102888885885,87.0,19.0,0.0
1519585791162835346,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,19.0,12.0,0.0,0.0102888885885,87.0,19.0,0.0
1519585791182227975,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,38.0,12.0,0.0,0.0102888885885,87.0,19.0,0.0
1519585791198214150,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,57.0,12.0,0.0,0.0102888885885,87.0,19.0,0.0
1519585791219367454,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,0.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585791239431019,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,0.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585791255900631,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,19.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585791277069195,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,38.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585791295786617,0,42.4442062378,-76.4833831787,17.0,14.0,30.0,57.0,12.0,0.0,0.00514444429427,87.0,19.0,0.0
1519585791312880238,0,42.4442062378,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791336140674,0,42.4442062378,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791350422165,0,42.4442062378,-76.4833831787,17.0,14.0,31.0,19.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791371409635,0,42.4442062378,-76.4833831787,17.0,14.0,31.0,38.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791391052003,0,42.4442062378,-76.4833831787,17.0,14.0,31.0,57.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791406985366,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585791429094241,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585791448929474,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,19.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585791466081272,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,38.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585791486303379,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,57.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585791501732576,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,76.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585791521843954,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791545954389,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791559318172,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,19.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791579491321,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,38.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791600659260,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0565888881683,87.0,19.0,0.0
1519585791617462257,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0565888881683,87.0,19.0,0.0
1519585791637474312,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,19.0,12.0,0.0,0.0565888881683,87.0,19.0,0.0
1519585791658102564,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,38.0,12.0,0.0,0.0565888881683,87.0,19.0,0.0
1519585791674865978,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,57.0,12.0,0.0,0.0565888881683,87.0,19.0,0.0
1519585791695394907,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,76.0,12.0,0.0,0.0565888881683,87.0,19.0,0.0
1519585791710362490,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0154333328828,87.0,19.0,0.0
1519585791731000586,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0154333328828,87.0,19.0,0.0
1519585791752321754,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,19.0,12.0,0.0,0.0154333328828,87.0,19.0,0.0
1519585791768789491,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,38.0,12.0,0.0,0.0154333328828,87.0,19.0,0.0
1519585791788448630,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,57.0,12.0,0.0,0.0154333328828,87.0,19.0,0.0
1519585791809267611,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0257222224027,87.0,19.0,0.0
1519585791825591442,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0257222224027,87.0,19.0,0.0
1519585791845596310,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,19.0,12.0,0.0,0.0257222224027,87.0,19.0,0.0
1519585791867126436,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,38.0,12.0,0.0,0.0257222224027,87.0,19.0,0.0
1519585791882805789,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,57.0,12.0,0.0,0.0257222224027,87.0,19.0,0.0
1519585791903979405,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791925854999,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791939531125,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,19.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791960801564,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,38.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791977147947,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,57.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585791997452502,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,76.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585792018168202,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585792035121564,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,0.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585792056484815,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,19.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585792075940569,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,38.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585792094432365,0,42.4442024231,-76.4833831787,17.0,14.0,31.0,57.0,12.0,0.0,0.0360111109912,87.0,19.0,0.0
1519585792111519216,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,0.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585792132891426,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,0.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585792148505779,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,19.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585792168627209,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,38.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585792186695516,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,57.0,12.0,0.0,0.0463000014424,87.0,19.0,0.0
1519585792206459082,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,0.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585792227282490,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,0.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585792244393300,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,19.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585792264661500,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,38.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585792286023345,0,42.4442024231,-76.4833755493,17.0,14.0,31.0,57.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585792300582387,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0771666690707,87.0,19.0,0.0
1519585792320553713,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0771666690707,89.0,19.0,0.0
1519585792341957902,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,19.0,12.0,0.0,0.0771666690707,89.0,19.0,0.0
1519585792358016212,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,38.0,12.0,0.0,0.0771666690707,89.0,19.0,0.0
1519585792378057174,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,57.0,12.0,0.0,0.0771666690707,89.0,19.0,0.0
1519585792399494591,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,76.0,12.0,0.0,0.0771666690707,89.0,19.0,0.0
1519585792416788161,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0977444425225,89.0,19.0,0.0
1519585792436827195,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0977444425225,89.0,19.0,0.0
1519585792452433423,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,19.0,12.0,0.0,0.0977444425225,89.0,19.0,0.0
1519585792474955370,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,38.0,12.0,0.0,0.0977444425225,89.0,19.0,0.0
1519585792494076229,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.102888889611,89.0,19.0,0.0
1519585792509629696,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.102888889611,89.0,19.0,0.0
1519585792529709460,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,19.0,12.0,0.0,0.102888889611,89.0,19.0,0.0
1519585792549863338,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,38.0,12.0,0.0,0.102888889611,89.0,19.0,0.0
1519585792567956750,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,57.0,12.0,0.0,0.102888889611,89.0,19.0,0.0
1519585792587342816,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,76.0,12.0,0.0,0.102888889611,89.0,19.0,0.0
1519585792607286225,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0617333315313,89.0,19.0,0.0
1519585792624636357,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0617333315313,89.0,19.0,0.0
1519585792645607890,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,19.0,12.0,0.0,0.0617333315313,89.0,19.0,0.0
1519585792660154536,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,38.0,12.0,0.0,0.0617333315313,89.0,19.0,0.0
1519585792681320548,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,57.0,12.0,0.0,0.0617333315313,89.0,19.0,0.0
1519585792701457551,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.113177776337,89.0,19.0,0.0
1519585792718476798,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.113177776337,89.0,19.0,0.0
1519585792738534842,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,19.0,12.0,0.0,0.113177776337,89.0,19.0,0.0
1519585792758994970,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,38.0,12.0,0.0,0.113177776337,89.0,19.0,0.0
1519585792776821767,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,0.0,12.0,0.0,0.174911111593,89.0,19.0,0.0
1519585792795995699,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,19.0,12.0,0.0,0.174911111593,89.0,19.0,0.0
1519585792816716086,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,0.0,12.0,0.0,0.174911111593,89.0,19.0,0.0
1519585792833170126,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,19.0,12.0,0.0,0.174911111593,89.0,19.0,0.0
1519585792853285201,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,38.0,12.0,0.0,0.174911111593,89.0,19.0,0.0
1519585792869889970,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,0.0,12.0,0.0,0.149188891053,89.0,19.0,0.0
1519585792890760930,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,0.0,12.0,0.0,0.149188891053,89.0,19.0,0.0
1519585792910505277,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,19.0,12.0,0.0,0.149188891053,89.0,19.0,0.0
1519585792927467440,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,38.0,12.0,0.0,0.149188891053,89.0,19.0,0.0
1519585792947849860,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,57.0,12.0,0.0,0.149188891053,89.0,19.0,0.0
1519585792968853059,0,42.4442024231,-76.4833831787,17.0,14.0,32.0,76.0,12.0,0.0,0.149188891053,89.0,19.0,0.0
1519585792984009392,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0308666657656,89.0,19.0,0.0
1519585793005063894,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0308666657656,87.0,19.0,0.0
1519585793025616833,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,19.0,12.0,0.0,0.0308666657656,87.0,19.0,0.0
1519585793042451028,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,38.0,12.0,0.0,0.0308666657656,87.0,19.0,0.0
1519585793062416729,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,57.0,12.0,0.0,0.0308666657656,87.0,19.0,0.0
1519585793078840873,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0411555543542,87.0,19.0,0.0
1519585793099403552,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0411555543542,87.0,19.0,0.0
1519585793119370764,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,21.0,12.0,0.0,0.0411555543542,87.0,21.0,0.0
1519585793139690943,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,40.0,12.0,0.0,0.0411555543542,87.0,19.0,0.0
1519585793161778100,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,59.0,12.0,0.0,0.0411555543542,87.0,19.0,0.0
1519585793176875995,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,78.0,12.0,0.0,0.0411555543542,87.0,19.0,0.0
1519585793196933935,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585793214025422,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,0.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585793234105706,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,19.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585793254832708,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,38.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585793271180133,0,42.4442024231,-76.4833755493,17.0,14.0,32.0,57.0,12.0,0.0,0.0668777748942,87.0,19.0,0.0
1519585793291521719,0,42.4442024231,-76.4833755493,17.0,14.0,33.0,0.0,12.0,0.0,0.0257222224027,87.0,19.0,0.0
1519585793313425021,0,42.4442024231,-76.4833755493,17.0,14.0,33.0,0.0,12.0,0.0,0.0257222224027,87.0,19.0,0.0
1519585793329938227,0,42.4442024231,-76.4833755493,17.0,14.0,33.0,19.0,12.0,0.0,0.0257222224027,87.0,19.0,0.0
